Title,Abstract,Authors
Money Matters: Exploring Opportunities in Digital Donation to Mosques in Pakistan,,"Amna Batool (ITU Lahore),Naveed Ahmed (ITU Lahore),Muhammad Waseem Rasool (ITU Lahore),Umar Saif (ITU Lahore),Mustafa Naseem (University of Michigan)"
The Role of ICTs in Refugee Lives,,Ashwed Patil (Indiana University Bloomington)
Exploratory Study about Organ Donation and Organ Transplantation in Pakistan,,"Khushbakht Naveed (ITU Lahore),Aqsa Khalid (ITU Lahore),Zofishan Hameed (ITU Lahore),Adeena Hamid (ITU Lahore),Beenish Fatima (ITU Lahore),Amna Batool (ITU Lahore)"
Improving Financial Condition of Small Scale farmers through mobile based crop suggestion services,,"Syed Taha Bilal Gilani (ITU Lahore),Ahmed Shahzad (ITU Lahore),Shahzaib Ahmad Malik (ITU Lahore),Rana Abdul Haseeb (ITU Lahore),Beenish Fatima (ITU Lahore),Amna Batool (ITU Lahore)"
Beyond Saving: A Case for Agency-First Approach Against Domestic Violence,,"Aakash Gautam (Virginia Tech),Chandani Shrestha (Virginia Tech),Deborah Tatar (Virginia Tech)"
A Rights-based approach to Open Government Data,,"Rajesh Hanbal (IIIT Bangalore),Amit Prakash (IIIT Bangalore)"
Consejero Automatico: Chatbots for Supporting Latino Parents' Educational Engagement,,"Marisol Wong-Villacres (Georgia Tech),Hayley Evans (Georgia Tech),Danielle Schechter (Georgia Tech),Betsy DiSalvo (Georgia Tech),Neha Kumar (Georgia Tech)"
Findings of User Study Conducted for Understanding Training of Rural ASHAs in India,,"Shimmila Bhowmick (IIT Guwahati),Keyur Sorathia (IIT Guwahati)"
ICTs as Catalysts in Child Protection Programmes – Current Landscape in South Asia and a Concept to Inform Future Use,,"Balwant Godara (Terre des hommes Foundation),Nihaalini Kumar (Terre des hommes Foundation),Frederique Boursin (Terre des hommes Foundation),Gatienne Jobit (Terre des hommes Foundation),Amara Amara (Terre des hommes Foundation),Thierry Agagliate (Terre des hommes Foundation)"
Developing a Bangla Currency Recognizer for Visually Impaired People: a Deep-Learning Based Approach,,"Hasan Murad (Bangladesh University of Engineering and Technology),Nafis Irtiza Tripto (Bangladesh University of Engineering and Technology),Mohammed Eunus Ali (Bangladesh University of Engineering and Technology)"
